Core-index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning
1690,JLPT2,両替,りょうがえ,"money changing, exchange of money",Verbal Noun,1万円を両替してください。,いちまんえん を りょうがえ して ください,"Please exchange 10,000 yen for me."
1691,JLPT0,明日,あした,tomorrow,Noun,明日、会社を休みます。,あした かいしゃ を やすみます,I'm off work tomorrow.
1692,JLPT2,送り仮名,おくりがな,kana suffix,Noun,その送り仮名は間違っています。,その おくりがな は まちがって います,That kana suffix is wrong.
1693,JLPT2,片付く,かたづく,"be put in order, be settled",Verb,仕事が大分片付いた。,しごと が だいぶ かたづいた,I've completed a lot of my work.
1694,JLPT1,カップ,カップ,cup,Noun,水を1カップ入れてください。,みず を いちかっぷ いれて ください,Please put in one cup of water.
1695,JLPT2,消しゴム,けしごむ,eraser,Noun,消しゴムを貸して下さい。,けしごむ を かして ください,Please lend me your eraser.
1696,JLPT2,主人,しゅじん,"master, husband",Noun,主人は今、留守です。,しゅじん は いま るす です,My husband is out now.
1697,JLPT2,スケート,スケート,"skate, skates",Noun,湖でスケートをした。,みずうみ で すけーと を した,We went skating on the lake.
1698,JLPT4,たくさん,たくさん,"in large quantity, plenty",Adverb,昨日はたくさん泳ぎました。,きのう は たくさん およぎました,I swam a lot yesterday.
1699,JLPT4,中,なか,"inside, middle",Noun,財布は引き出しの中にあります。,さいふ は ひきだし の なか に あります,My purse is in the drawer.
1700,JLPT2,鍋,なべ,"pan, saucepan",Noun,鍋にスープが入っているよ。,なべ に すーぷ が はいって いる よ,There's some soup in the pan.
1701,JLPT2,怠ける,なまける,"be lazy, neglect",Verb,怠けていないで、手伝って。,なまけて いない で てつだって,Stop slacking and help me!
1702,JLPT0,二階,にかい,"second floor, upstairs",Noun,兄は二階にいます。,あに は にかい に います,My elder brother is on the second floor.
1703,JLPT2,寝坊,ねぼう,"late riser, oversleeping",Verbal Noun,今朝は寝坊しました。,けさ は ねぼう しました,I slept in this morning.
1704,JLPT0,鋏,はさみ,"scissors, pincers, tongs",Noun,この鋏はよく切れる。,この はさみ は よく きれる,These scissors cut well.
1705,JLPT2,畑,はたけ,"field, vegetable garden",Noun,母は畑仕事が好きだ。,はは は はたけ しごと が すき だ,My mother likes working in the field.
1706,JLPT2,ピクニック,ピクニック,picnic,Noun,今日はピクニックに行きましょう。,きょう は ぴくにっく に いきましょう,Let's go on a picnic today.
1707,JLPT2,真っ青,まっさお,"deep-blue, pale (skin)",Adjectival Noun,空が真っ青です。,そら が まっさお です,The sky is bright blue.
1708,JLPT2,汚す,よごす,"make dirty, soil",Verb,彼は服を汚した。,かれ は ふく を よごした,He got his clothes dirty.
1709,JLPT0,酔っ払う,よっぱらう,get drunk,Verb,昨夜は酔っ払いました。,ゆうべ は よっぱらいました,I got drunk last night.
1710,JLPT3,忘れ物,わすれもの,"something left behind, lost item",Noun,学校に忘れ物をしました。,がっこう に わすれもの を しました,I left something behind at school.
1711,JLPT4,あちら,あちら,way over there,Noun,あちらに行ってみよう。,あちら に いって みよう,Let's go that way.
1712,JLPT2,掛け算,かけざん,multiplication,Verbal Noun,弟は掛け算を習っている。,おとうと は かけざん を ならって いる,My little brother is learning his multiplication tables.
1713,JLPT2,臭い,くさい,"ill-smelling, stinking",Adjective,納豆は臭い。,なっとう は くさい,Natto stinks.
